No,Judul Buku,Pengarang,Rak,Jumlah Eksemplar,Status
173,Analisa dan Perancangan Sistem Informasi,"Sutrisno,Eva Argarini Pratama,Corie Mei Hellyana",Ilmu Umum dan Komputer,5,TERSEDIA
174,Panduan Sistem Operasi Microsoft Windows Xp Professional,Andry Syahputra,Tidak ada info rak,6,TERSEDIA
175,Sistem Informasi Geografis : Tutorial ArcvVew,Eddy Prahasta ,"GIS,SIM",13,TERSEDIA
176,Sistem Manajemen Keamanan Informasi (Berbasis ISO 27001),"Riyanarto Sarno,Irsyat Iffano",Manajemen,10,TERSEDIA
177,"Sistem Informasi Manajemen : Konsep, Aplikasi, Dan Perkembangannya",Eko Nugroho,SIM,10,TERSEDIA
178,Sistem Informasi Akuntansi : Dengan Pengenalan Sistem Informasi Akuntansi Syariah,"Sentot Imam Wahjono,Anna Marina,Ma`ruf Sya`ban,Agusdiwana Suarni",Manajemen,6,TERSEDIA
179,Buku ajar : pengantar sistem rekomendasi,"Norhikmah ,Erni Seniwati,Yoga Pristyanto,Ika Nur Fajri,Arif Nur Rohman,Efitra ",Ilmu Umum dan Komputer,3,TERSEDIA
180,Praktikum Sistem Informasi Akuntansi,"Ni Nyoman Alit Triani,Merlyana Dwinda Yanthi,Ricky Eka Putra",akuntansi,10,TERSEDIA
181,TV Digital : teori dan sistem,Saludin Muis,Broadcasting,5,TERSEDIA
182,Sistem Teknologi Informasi Bisnis : Pendekatan Strategis,Jogiyanto Hartono ,SIM,10,TERSEDIA
183,Pemrograman Sistem Pengendali dengan Delphi,"Sugiri,Moh. Supriyadi",delphi,4,TERSEDIA
184,"VM Ware, Solusi Menjalankan Beberapa Sistem Operasi",Sugiri,pik,4,TERSEDIA
185,Grammaire Francaise: suatu pendekatan sistematik dan holistik,Rory Anthony Hutagalung,Bahasa,1,TERSEDIA
186,Pentingnya Sistem Informasi Dalam Keberhasilan Sebuah Proyek,Irwan Isa,SIM,10,TERSEDIA
187,Sistem Informasi Geografis Berbasis Mobile,Riyanto,GIS,6,TERSEDIA
188,SISPROD : Komputerisasi Sistem Manajemen Produksi dan Gudang,Paulus Bambangwirawan,Manajemen Proyek,5,TERSEDIA
189,Kebijakan dan Prosedur Penyelenggaran Sistem Informasi Manajemen,Edi Purwono,SIM,5,TERSEDIA
190,Pengenalan Sistem Pendukung Keputusan,Ferry Susanto,Ilmu Umum dan Komputer,5,TERSEDIA
191,Sistem Informasi Geografis : Belajar dan Memahami MapInfo,Eddy Prahasta ,"GIS,SIM",12,TERSEDIA
192,Integrasi Dan Migrasi Sistem Teori Dan Praktik,I Putu Agus Eka Pratama,Ilmu Umum dan Komputer,7,TERSEDIA
193,Analisa Perancangan Sistem Informasi Akuntansi,"Siti Masripah,Nur Hidayati,Nurfia Oktaviani Syamsiah,Haryani ",Manajemen,1,TERSEDIA
194,Modul literasi informasi,"Novy Diana Fauzie ,Laela Niswatin ,Arda Putri Winata ,Eko Kurniawan ",Ilmu Perpustakaan,1,TERSEDIA
195,Pengantar teknologi informasi,"Edy Irwansyah,Jurike V. Moniaga",SIM,20,TERSEDIA
196,Pengenalan Sistem Informasi (Edisi Revisi),Abdul Kadir ,SIM,3,TERSEDIA
197,Anggaran belanja teknologi informasi,Irwan Isa,Manajemen Proyek,26,TERSEDIA
198,Analisa Proyek Sistem Informasi,"Nurmalasari ,Rani Irma Handayani,Nita Merlina",Ilmu Umum dan Komputer,1,TERSEDIA
199,Rencana Strategis Teknologi Informasi (IT) dan Sistem Informasi (SI) pada Proses Bisnis Perusahaan,Harisno ,SIM,10,TERSEDIA
200,Pengantar Konsep Dasar Manajemen Sistem Informasi dan Teknologi Informasi,Richardus Eko Indrajit,SIM,2,TERSEDIA
